Date,Country,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
February 29 2024,Albemarle,VA,Passenger,2,0,2,14,16,12.5
June 30 2018,Santa Rosa,FL,Passenger,1,0,1,98,99,1.01
August 31 2018,Wahkiakum,WA,Passenger,1,1,2,2959,2961,0.07
March 31 2018,Walla Walla,WA,Truck,0,0,0,13312,13312,0
July 31 2018,Cowlitz,WA,Truck,0,0,0,28557,28557,0
May 31 2021,Montgomery,MD,Passenger,2,1,3,233,236,1.27
June 30 2021,Grays Harbor,WA,Truck,0,0,0,21446,21446,0
October 31 2021,Harrison,MS,Passenger,2,0,2,54,56,3.57
March 31 2019,Middlesex,MA,Passenger,1,1,2,119,121,1.65
July 31 2019,Charleston,SC,Passenger,1,0,1,120,121,0.83
August 31 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
December 31 2023,Benton,WA,Passenger,1378,638,2016,134076,136092,1.48
December 31 2017,Stevens,WA,Truck,0,0,0,18374,18374,0
October 31 2020,Columbia,WA,Truck,0,0,0,1531,1531,0
April 30 2022,Denton,TX,Passenger,2,0,2,65,67,2.99
June 30 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
December 31 2022,Lee,FL,Passenger,1,0,1,32,33,3.03
April 30 2020,Williams,ND,Passenger,0,1,1,13,14,7.14
September 30 2022,Fairfax,VA,Truck,1,0,1,106,107,0.93
October 31 2019,Cowlitz,WA,Passenger,112,106,218,73557,73775,0.3
February 28 2019,Okanogan,WA,Truck,0,0,0,16469,16469,0
February 28 2021,Hudson,NJ,Passenger,1,0,1,41,42,2.38
March 31 2019,Kern,CA,Passenger,0,1,1,227,228,0.44
January 31 2021,Anchorage,AK,Passenger,1,0,1,151,152,0.66
June 30 2022,Dorchester,SC,Passenger,1,0,1,66,67,1.49
April 30 2018,Tulsa,OK,Passenger,0,1,1,49,50,2
April 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20
January 31 2024,Klickitat,WA,Passenger,185,75,260,14822,15082,1.72
January 31 2024,Adams,WA,Passenger,31,14,45,12855,12900,0.35
September 30 2023,Norfolk,VA,Passenger,1,2,3,257,260,1.15
September 30 2022,Lewis,WA,Truck,1,0,1,26338,26339,0
March 31 2023,Klickitat,WA,Truck,6,0,6,8286,8292,0.07
December 31 2023,Lincoln,WA,Truck,0,0,0,4735,4735,0
October 31 2019,Lake,FL,Passenger,1,0,1,23,24,4.17
September 30 2023,DeKalb,GA,Passenger,2,0,2,36,38,5.26
February 29 2020,Saginaw,MI,Passenger,1,0,1,12,13,7.69
October 31 2020,Clark,WA,Truck,0,0,0,83142,83142,0
July 31 2022,Columbia,WA,Truck,0,0,0,1577,1577,0
October 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
November 30 2019,Sangamon,IL,Passenger,1,0,1,5,6,16.67
October 31 2022,Pend Oreille,WA,Passenger,18,12,30,8995,9025,0.33
May 31 2023,Yuba,CA,Passenger,1,0,1,52,53,1.89
August 31 2017,Asotin,WA,Passenger,8,5,13,12438,12451,0.1
August 31 2021,Lake,IL,Passenger,2,0,2,170,172,1.16
January 31 2023,Middlesex,NJ,Passenger,1,0,1,18,19,5.26
October 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50
November 30 2019,Benton,WA,Passenger,309,308,617,135081,135698,0.45
April 30 2020,Lee,FL,Passenger,1,0,1,51,52,1.92
September 30 2018,Douglas,NE,Passenger,0,1,1,71,72,1.39
April 30 2023,,,Passenger,5,0,5,267,272,1.84
March 31 2020,Dakota,MN,Passenger,0,1,1,31,32,3.12
January 31 2020,Kootenai,ID,Passenger,1,1,2,232,234,0.85
December 31 2023,Galveston,TX,Passenger,0,1,1,13,14,7.14
July 31 2020,Cowlitz,WA,Passenger,146,117,263,72224,72487,0.36
January 31 2024,Ventura,CA,Passenger,3,2,5,179,184,2.72
April 30 2018,Pacific,WA,Truck,0,0,0,7595,7595,0
June 30 2018,Hawaii,HI,Passenger,1,0,1,74,75,1.33
January 31 2020,Cochise,AZ,Passenger,0,1,1,103,104,0.96
November 30 2022,Allegheny,PA,Passenger,1,0,1,61,62,1.61
August 31 2022,Kittitas,WA,Passenger,284,88,372,29593,29965,1.24
October 31 2022,Garfield,WA,Passenger,1,3,4,1308,1312,0.3
February 29 2024,King,WA,Truck,1164,2,1166,165834,167000,0.7
February 29 2020,Guadalupe,TX,Passenger,1,0,1,71,72,1.39
July 31 2021,Chelan,WA,Truck,0,0,0,23093,23093,0
December 31 2022,Lincoln,WA,Truck,0,0,0,4841,4841,0
March 31 2022,Suffolk,VA,Passenger,1,0,1,120,121,0.83
November 30 2017,Mercer,NJ,Passenger,0,1,1,18,19,5.26
June 30 2023,Houston,GA,Passenger,1,0,1,29,30,3.33
October 31 2019,Clark,WA,Truck,0,0,0,81141,81141,0
October 31 2021,Spokane,WA,Truck,0,0,0,102532,102532,0
December 31 2022,Klickitat,WA,Truck,4,0,4,8234,8238,0.05
August 31 2023,Adams,WA,Passenger,25,12,37,13078,13115,0.28
October 31 2023,Solano,CA,Passenger,5,0,5,126,131,3.82
May 31 2020,Albemarle,VA,Passenger,1,0,1,22,23,4.35
January 31 2018,Portsmouth,VA,Passenger,0,1,1,70,71,1.41
April 30 2020,Osceola,FL,Passenger,1,0,1,42,43,2.33
April 30 2022,Maricopa,AZ,Passenger,7,4,11,1093,1104,1
February 28 2018,Saratoga,NY,Passenger,1,1,2,67,69,2.9
April 30 2017,King,WA,Truck,8,1,9,188921,188930,0
August 31 2018,Whatcom,WA,Truck,2,0,2,42395,42397,0
February 29 2020,Shasta,CA,Passenger,1,0,1,39,40,2.5
January 31 2022,Columbia,WA,Passenger,6,2,8,2450,2458,0.33
May 31 2022,Sacramento,CA,Passenger,2,1,3,223,226,1.33
February 28 2021,Milwaukee,WI,Passenger,1,0,1,45,46,2.17
September 30 2022,Marion,IA,Passenger,1,0,1,0,1,100
January 31 2018,Mason,WA,Passenger,65,75,140,44969,45109,0.31
March 31 2020,Maricopa,AZ,Passenger,7,9,16,1552,1568,1.02
February 29 2024,Okanogan,WA,Truck,10,0,10,15655,15665,0.06
May 31 2017,Hawaii,HI,Passenger,1,0,1,88,89,1.12
December 31 2018,Portsmouth,VA,Passenger,0,1,1,82,83,1.2
November 30 2017,Norfolk,VA,Passenger,1,1,2,311,313,0.64
January 31 2020,Shelby,TN,Passenger,0,1,1,100,101,0.99
June 30 2019,Larimer,CO,Passenger,1,0,1,56,57,1.75
November 30 2023,Burlington,NJ,Passenger,2,2,4,84,88,4.55
November 30 2023,Denton,TX,Passenger,1,0,1,29,30,3.33
November 30 2017,St. Lucie,FL,Passenger,1,0,1,26,27,3.7
February 28 2021,Sevier,AR,Passenger,0,1,1,0,1,100
November 30 2021,Yakima,WA,Passenger,272,167,439,168582,169021,0.26
July 31 2023,Okanogan,WA,Passenger,129,65,194,26106,26300,0.74
April 30 2021,Pima,AZ,Passenger,2,1,3,310,313,0.96
December 31 2019,Monterey,CA,Passenger,0,1,1,186,187,0.53
November 30 2020,Garfield,WA,Truck,0,0,0,995,995,0
March 31 2017,Cowlitz,WA,Truck,0,0,0,27903,27903,0
May 31 2018,Nueces,TX,Passenger,1,1,2,91,93,2.15
September 30 2023,Monterey,CA,Passenger,0,3,3,114,117,2.56
March 31 2023,Skagit,WA,Passenger,1022,383,1405,89122,90527,1.55
December 31 2022,Clark,WA,Passenger,4919,2025,6944,314671,321615,2.16
July 31 2021,Jefferson,NY,Passenger,0,1,1,222,223,0.45
September 30 2018,Sacramento,CA,Passenger,0,1,1,320,321,0.31
May 31 2023,Mason,WA,Truck,10,0,10,20728,20738,0.05
October 31 2021,Solano,CA,Passenger,1,0,1,178,179,0.56
November 30 2021,Carroll,MD,Passenger,0,1,1,17,18,5.56
April 30 2023,Hamilton,OH,Passenger,1,0,1,31,32,3.12
September 30 2022,Cowlitz,WA,Passenger,368,180,548,70311,70859,0.77
August 31 2017,Virginia Beach,VA,Passenger,2,1,3,640,643,0.47
January 31 2018,Garfield,WA,Passenger,1,0,1,1329,1330,0.08
March 31 2020,Columbia,OR,Passenger,1,0,1,27,28,3.57
December 31 2023,Caddo,LA,Passenger,2,0,2,8,10,20
March 31 2019,Skamania,WA,Truck,0,0,0,4016,4016,0
March 31 2020,Orange,CA,Passenger,7,2,9,524,533,1.69
December 31 2018,Tulsa,OK,Passenger,1,1,2,51,53,3.77
January 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
February 28 2023,Yellowstone,MT,Passenger,0,1,1,14,15,6.67
September 30 2018,Island,WA,Truck,0,0,0,21087,21087,0
June 30 2017,Mason,WA,Truck,0,0,0,19267,19267,0
February 29 2024,Bexar,TX,Passenger,0,3,3,307,310,0.97
June 30 2020,Cowlitz,WA,Truck,0,0,0,28863,28863,0
March 31 2020,El Paso,TX,Passenger,3,0,3,444,447,0.67
December 31 2021,St. Clair,IL,Passenger,1,0,1,123,124,0.81
January 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20
November 30 2018,Rogers,OK,Passenger,1,0,1,7,8,12.5
December 31 2019,Oldham,KY,Passenger,0,1,1,4,5,20
July 31 2021,San Juan,WA,Passenger,443,139,582,14234,14816,3.93
September 30 2019,Clark,NV,Passenger,5,2,7,701,708,0.99
May 31 2021,Adams,WA,Truck,0,0,0,5373,5373,0
June 30 2018,DeKalb,GA,Passenger,1,0,1,82,83,1.2
December 31 2020,Columbia,WA,Truck,0,0,0,1542,1542,0
February 29 2024,Marin,CA,Passenger,1,1,2,25,27,7.41
December 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20
January 31 2018,Klickitat,WA,Passenger,24,26,50,14933,14983,0.33
October 31 2023,Whitman,WA,Truck,5,0,5,8626,8631,0.06
September 30 2018,Middlesex,MA,Passenger,0,1,1,140,141,0.71
March 31 2020,Palm Beach,FL,Passenger,0,3,3,79,82,3.66
March 31 2020,Ferry,WA,Passenger,5,3,8,4366,4374,0.18
September 30 2023,Adams,WA,Truck,3,0,3,5338,5341,0.06
November 30 2020,Suffolk,VA,Passenger,1,0,1,123,124,0.81
February 28 2023,Ray,MO,Passenger,0,1,1,0,1,100
March 31 2023,Newport News,VA,Passenger,1,0,1,107,108,0.93
April 30 2019,Chelan,WA,Truck,0,0,0,22171,22171,0
October 31 2021,Honolulu,HI,Passenger,5,3,8,406,414,1.93
May 31 2021,Bexar,TX,Passenger,2,4,6,563,569,1.05
August 31 2022,Albemarle,VA,Passenger,3,0,3,19,22,13.64
November 30 2022,San Bernardino,CA,Passenger,2,1,3,323,326,0.92
May 31 2022,St. Mary's,MD,Passenger,1,0,1,194,195,0.51
February 29 2020,Lee,FL,Passenger,1,0,1,52,53,1.89
January 31 2022,Salt Lake,UT,Passenger,1,1,2,163,165,1.21
February 28 2017,Ferry,WA,Truck,0,0,0,3562,3562,0
February 28 2018,Ferry,WA,Truck,0,0,0,3528,3528,0
September 30 2023,Benton,WA,Passenger,1265,612,1877,135023,136900,1.37
May 31 2019,Skagit,WA,Passenger,292,200,492,91693,92185,0.53
March 31 2020,Ada,ID,Passenger,0,1,1,301,302,0.33
February 28 2023,Prince William,VA,Passenger,1,2,3,176,179,1.68
May 31 2022,Tarrant,TX,Passenger,2,0,2,128,130,1.54
March 31 2022,Wake,NC,Passenger,1,0,1,107,108,0.93
September 30 2019,Stevens,WA,Passenger,27,28,55,31654,31709,0.17
December 31 2022,Douglas,WA,Passenger,168,58,226,28490,28716,0.79
February 28 2023,Garfield,WA,Passenger,1,3,4,1311,1315,0.3
January 31 2017,Whitman,WA,Truck,0,0,0,8404,8404,0
September 30 2022,Norfolk,VA,Passenger,3,3,6,285,291,2.06
August 31 2022,Portsmouth,VA,Passenger,0,1,1,84,85,1.18
February 28 2017,Douglas,OR,Passenger,0,1,1,79,80,1.25
February 28 2022,Plaquemines,LA,Passenger,0,1,1,19,20,5
December 31 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5
January 31 2022,El Paso,CO,Passenger,3,0,3,678,681,0.44
February 28 2019,Grant,WA,Truck,0,0,0,26310,26310,0
November 30 2018,Ada,ID,Passenger,0,2,2,325,327,0.61
July 31 2017,Garfield,WA,Passenger,0,0,0,1296,1296,0
April 30 2023,Rock Island,IL,Passenger,0,1,1,13,14,7.14
August 31 2017,Skamania,WA,Passenger,10,7,17,8569,8586,0.2
October 31 2017,Lane,OR,Passenger,0,1,1,217,218,0.46
November 30 2021,Sonoma,CA,Passenger,0,1,1,94,95,1.05
June 30 2023,Island,WA,Truck,32,0,32,21055,21087,0.15
January 31 2023,Whatcom,WA,Truck,37,0,37,42974,43011,0.09
October 31 2018,St. Clair,IL,Passenger,0,1,1,166,167,0.6
November 30 2022,Middlesex,NJ,Passenger,1,0,1,19,20,5
March 31 2017,Los Angeles,CA,Passenger,2,1,3,1382,1385,0.22
August 31 2020,Whatcom,WA,Truck,3,0,3,43274,43277,0.01
February 29 2024,Orange,FL,Passenger,1,0,1,39,40,2.5
March 31 2018,Columbia,WA,Truck,0,0,0,1532,1532,0
August 31 2017,Hamilton,TN,Passenger,1,0,1,20,21,4.76
September 30 2023,Skagit,WA,Truck,27,0,27,31672,31699,0.09
January 31 2023,Newport,RI,Passenger,0,1,1,60,61,1.64
March 31 2022,Collin,TX,Passenger,3,0,3,105,108,2.78
November 30 2021,Orange,CA,Passenger,5,2,7,422,429,1.63
May 31 2022,Bartow,GA,Passenger,0,1,1,4,5,20
May 31 2019,Fairfax,VA,Passenger,4,2,6,789,795,0.75
December 31 2019,Washington,OR,Passenger,1,0,1,464,465,0.22
June 30 2023,Alexandria,VA,Passenger,3,1,4,87,91,4.4
September 30 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
June 30 2021,Spartanburg,SC,Passenger,0,1,1,53,54,1.85
January 31 2019,Williamson,TX,Passenger,0,1,1,154,155,0.65
February 28 2023,Pierce,WA,Truck,111,0,111,138588,138699,0.08
December 31 2022,Riverside,CA,Passenger,7,0,7,429,436,1.61
October 31 2023,San Diego,CA,Passenger,16,8,24,1939,1963,1.22
April 30 2019,Montgomery,TX,Passenger,2,0,2,64,66,3.03
September 30 2018,San Diego,CA,Passenger,8,2,10,2564,2574,0.39
June 30 2018,El Paso,TX,Passenger,1,0,1,521,522,0.19
January 31 2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
March 31 2020,Camden,NJ,Passenger,0,2,2,20,22,9.09
May 31 2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
January 31 2022,Hennepin,MN,Passenger,3,0,3,68,71,4.23
December 31 2020,Nassau,FL,Passenger,1,0,1,35,36,2.78
April 30 2021,Benton,WA,Passenger,494,377,871,136048,136919,0.64
November 30 2022,Fairbanks North Star,AK,Passenger,0,1,1,65,66,1.52
May 31 2017,Kitsap,WA,Truck,1,0,1,52376,52377,0
October 31 2020,Stevens,WA,Passenger,36,39,75,30353,30428,0.25
April 30 2022,Whitman,WA,Passenger,83,56,139,22022,22161,0.63
October 31 2022,Jefferson,NY,Passenger,1,1,2,210,212,0.94
February 28 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
September 30 2019,Valencia,NM,Passenger,1,0,1,8,9,11.11
December 31 2021,Jefferson,WA,Truck,0,0,0,9597,9597,0
April 30 2021,Stevens,WA,Truck,0,0,0,18871,18871,0
April 30 2018,San Juan,WA,Passenger,141,53,194,13955,14149,1.37
December 31 2021,Pend Oreille,WA,Passenger,18,9,27,9123,9150,0.3
June 30 2017,Alameda,CA,Passenger,1,1,2,369,371,0.54
November 30 2020,Orange,FL,Passenger,1,0,1,122,123,0.81
February 28 2017,Guilford,NC,Passenger,1,0,1,33,34,2.94
January 31 2024,Pinal,AZ,Passenger,1,0,1,61,62,1.61
April 30 2022,Philadelphia,PA,Passenger,1,0,1,41,42,2.38
November 30 2018,Camden,NJ,Passenger,0,1,1,26,27,3.7
November 30 2018,Garfield,OK,Passenger,1,0,1,14,15,6.67
December 31 2017,Kitsap,WA,Truck,1,0,1,52688,52689,0
November 30 2017,Wahkiakum,WA,Truck,0,0,0,1661,1661,0
February 29 2024,Wahkiakum,WA,Truck,4,0,4,1695,1699,0.24
August 31 2019,Cumberland,NC,Passenger,0,2,2,507,509,0.39
June 30 2020,Gwinnett,GA,Passenger,1,0,1,75,76,1.32
July 31 2023,San Mateo,CA,Passenger,2,0,2,61,63,3.17
March 31 2022,Harris,TX,Passenger,1,0,1,173,174,0.57
May 31 2018,Juneau,AK,Passenger,0,1,1,46,47,2.13
June 30 2019,Collier,FL,Passenger,1,0,1,19,20,5
October 31 2019,Collier,FL,Passenger,1,0,1,19,20,5
March 31 2019,,,Passenger,5,2,7,414,421,1.66
August 31 2021,King,WA,Truck,5,1,6,183996,184002,0
January 31 2022,Arlington,VA,Passenger,1,0,1,137,138,0.72
December 31 2020,Anne Arundel,MD,Passenger,1,1,2,399,401,0.5
December 31 2021,Plaquemines,LA,Passenger,0,1,1,19,20,5
November 30 2020,Okaloosa,FL,Passenger,0,1,1,143,144,0.69
December 31 2022,Santa Cruz,CA,Passenger,1,0,1,22,23,4.35
January 31 2018,Whatcom,WA,Passenger,548,238,786,145485,146271,0.54
July 31 2022,Montgomery,MD,Passenger,4,2,6,204,210,2.86
March 31 2020,Pacific,WA,Truck,0,0,0,7710,7710,0
July 31 2019,Mason,WA,Truck,0,0,0,20405,20405,0
July 31 2023,Monterey,CA,Passenger,0,3,3,118,121,2.48
May 31 2020,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
April 30 2022,Carroll,MD,Passenger,0,1,1,16,17,5.88
July 31 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
November 30 2021,Kauai,HI,Passenger,1,0,1,19,20,5
April 30 2017,Douglas,WA,Truck,0,0,0,11450,11450,0
September 30 2017,Tarrant,TX,Passenger,1,0,1,234,235,0.43
August 31 2021,Kings,CA,Passenger,1,0,1,330,331,0.3
February 28 2017,Duval,FL,Passenger,1,1,2,369,371,0.54
August 31 2023,Anchorage,AK,Passenger,1,0,1,93,94,1.06
February 28 2023,Jefferson,NY,Passenger,2,1,3,198,201,1.49
December 31 2018,Goochland,VA,Passenger,0,1,1,246,247,0.4
April 30 2017,Travis,TX,Passenger,1,1,2,198,200,1
April 30 2017,Deschutes,OR,Passenger,1,0,1,203,204,0.49
November 30 2022,Bell,TX,Passenger,1,0,1,309,310,0.32
September 30 2023,Brevard,FL,Passenger,1,0,1,52,53,1.89
October 31 2021,Calvert,MD,Passenger,0,2,2,85,87,2.3
November 30 2022,New Haven,CT,Passenger,0,2,2,31,33,6.06
December 31 2022,Lewis,WA,Truck,1,0,1,26282,26283,0
November 30 2018,Richland,SC,Passenger,0,1,1,165,166,0.6
August 31 2018,Douglas,NE,Passenger,0,1,1,73,74,1.35
September 30 2023,Lincoln,OR,Passenger,0,1,1,13,14,7.14
October 31 2020,Mason,WA,Truck,0,0,0,20826,20826,0
August 31 2022,Washtenaw,MI,Passenger,0,1,1,28,29,3.45
February 29 2020,Columbia,OR,Passenger,1,0,1,28,29,3.45
April 30 2021,San Diego,CA,Passenger,17,4,21,2659,2680,0.78
January 31 2019,El Paso,CO,Passenger,3,1,4,773,777,0.51
November 30 2022,Escambia,FL,Passenger,0,1,1,145,146,0.68
July 31 2022,New Haven,CT,Passenger,0,2,2,33,35,5.71
January 31 2020,Grant,WA,Passenger,58,71,129,65611,65740,0.2
November 30 2020,Douglas,WA,Passenger,82,43,125,28125,28250,0.44
February 29 2024,San Diego,CA,Passenger,15,9,24,1763,1787,1.34
December 31 2019,Multnomah,OR,Passenger,4,6,10,744,754,1.33
March 31 2022,Orange,FL,Passenger,2,0,2,103,105,1.9
October 31 2017,Dakota,MN,Passenger,0,2,2,39,41,4.88
January 31 2023,Geary,KS,Passenger,1,0,1,76,77,1.3
September 30 2023,St. Louis,MN,Passenger,0,1,1,6,7,14.29
February 28 2021,Randolph,NC,Passenger,1,0,1,7,8,12.5
August 31 2019,Sumter,FL,Passenger,0,1,1,9,10,10
November 30 2017,Snohomish,WA,Passenger,1987,1018,3005,515966,518971,0.58
July 31 2018,Whitman,WA,Truck,0,0,0,8499,8499,0
August 31 2021,Hennepin,MN,Passenger,3,0,3,75,78,3.85
October 31 2018,St. Lucie,FL,Passenger,1,0,1,29,30,3.33
April 30 2020,Carroll,NH,Passenger,0,1,1,4,5,20
January 31 2024,Island,WA,Passenger,1329,488,1817,60144,61961,2.93
October 31 2019,Douglas,WA,Truck,0,0,0,12290,12290,0
May 31 2021,District of Columbia,DC,Passenger,4,1,5,193,198,2.53
December 31 2021,Kern,CA,Passenger,0,1,1,205,206,0.49
February 29 2020,Hudson,NJ,Passenger,1,0,1,41,42,2.38
June 30 2022,Pennington,SD,Passenger,2,0,2,29,31,6.45
December 31 2020,Columbia,OR,Passenger,1,0,1,27,28,3.57
January 31 2021,Williams,ND,Passenger,0,1,1,10,11,9.09
April 30 2019,San Francisco,CA,Passenger,2,1,3,116,119,2.52
July 31 2019,Adams,WA,Truck,0,0,0,5129,5129,0
June 30 2019,Spokane,WA,Passenger,538,433,971,311743,312714,0.31
November 30 2018,Snohomish,WA,Passenger,2789,1415,4204,526704,530908,0.79
July 31 2019,Cowlitz,WA,Passenger,106,107,213,73133,73346,0.29
July 31 2019,Thurston,WA,Passenger,905,651,1556,198066,199622,0.78
May 31 2018,Snohomish,WA,Truck,1,0,1,121480,121481,0
January 31 2024,Wahkiakum,WA,Truck,4,0,4,1713,1717,0.23
September 30 2021,Tarrant,TX,Passenger,1,0,1,147,148,0.68
May 31 2018,Washington,OR,Passenger,0,1,1,479,480,0.21
September 30 2022,Travis,TX,Passenger,2,0,2,111,113,1.77
April 30 2022,Deschutes,OR,Passenger,2,0,2,100,102,1.96
May 31 2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33
June 30 2022,Clallam,WA,Truck,3,0,3,21921,21924,0.01
